District,number_sat,passed_all,passed_all_subject_perc,failed_all,failed_all_subject_perc
Ratnapura,11502,7932,68.96,866,7.53
Mannar,1277,875,68.52,98,7.67
Puttalam,6217,4212,67.75,414,6.66
Colombo,26259,17633,67.15,1987,7.57
Kurunegala,18127,12041,66.43,1268,7
Jaffna,7086,4673,65.95,510,7.2
Monaragala,4867,3198,65.71,384,7.89
Matara,10666,6972,65.37,932,8.74
Kalutara,12237,7982,65.23,1085,8.87
Nuwara Eliya,6101,3974,65.14,485,7.95
Galle,13445,8743,65.03,1198,8.91
Vavuniya,1606,1034,64.38,123,7.66
Kegalle,9452,6080,64.33,844,8.93
Matale,5436,3493,64.26,388,7.14
Gampaha,20437,13131,64.25,1748,8.55
Badulla,9660,6202,64.2,724,7.49
Hambantota,7559,4787,63.33,749,9.91
Mullativu,1026,646,62.96,82,7.99
Anuradhapura,8937,5614,62.82,865,9.68
Batticaloa,4970,3079,61.95,454,9.13
Kilinochchi,1270,779,61.34,91,7.17
Polonnaruwa,3644,2215,60.78,322,8.84
Trincomalee,3567,2159,60.53,347,9.73
Kandy,16179,9744,60.23,1527,9.44
Ampara,6664,3974,59.63,712,10.68
All Island,218191,141172,64.7,18203,8.34
